1,55,900000,12,137,790,13000,18950
2,226,9300000,28,36,180,3000,4000
7,84,655000,9,456,1113,14000,25300
8,90,4300000,32,112,139,7500,9500
9,215,3283132,76,434,478,23000,39100
20,155,600000,14,531,1443,24000,38000
34,255,1408000,30,709,959,21000,33900
38,131,3258000,32,272,870,9700,12400
45,152,1500000,25,614,1073,16500,24900
64,262,4456181,123,85,26,27700,24950
71,149,8000000,80,13,2,10000,9000
72,109,1240000,29,302,186,23200,26800
76,276,4000000,100,430,328,25000,23800
106,537,5830000,88,343,265,15100,18950
122,398,16720000,117,28,291,7000,9000
148,33,670000,4,570,1443,5800,12500
149,240,2000000,37,734,800,18500,37000
149,812,4664000,135,717,237,29000,47000
150,183,4000000,48,189,1558,12000,16700
156,237,30000000,96,387,328,3200,3915
160,56,2650000,27,306,680,10200,11000
163,70,1200000,18,352,1223,15000,17100
169,740,27297345,281,150,7,10300,9900
170,104,7500000,51,77,409,6800,7900
171,52,1500000,26,216,854,17500,22250
176,24,700000,4,397,371,5900,6210
183,145,18211530,40,455,639,2210,4000
184,58,467000,5,476,563,10000,19000
185,84,7300000,62,72,2,8500,8190
188,91,2769000,14,753,947,5200,10400
195,160,1100000,39,942,1103,35000,68000
205,234,20000000,72,94,1,3600,3240
224,122,4480000,49,19,611,11000,13600
240,176,12650140,101,31,3,8000,7200
252,416,7840000,118,48,1,15000,13500
258,238,7160708,27,73,1,3800,3420
259,62,1700000,20,158,13,11500,11500
260,180,4200000,61,406,524,14500,17500
262,241,3500000,21,226,350,6000,8360
265,52,1136460,19,96,127,17000,19500
266,115,1450000,28,319,744,19000,18750
267,194,7904761,28,182,345,3500,4005
273,319,16875000,84,141,7,5000,5000
275,199,2400000,72,225,220,30000,33050
276,303,1340000,72,573,391,54000,71400
276,121,1511125,41,274,174,27000,38400
279,116,471500,20,492,1048,43000,67700
282,57,708096,18,190,208,25500,25500
283,251,14300000,57,672,672,4000,6510
288,533,4497600,184,153,6,41000,39950
289,9462,16541302,2250,296,45,136000,135000
297,3714,30028180,901,10,1,30000,36000
303,49,1900000,11,262,1170,5600,8180
307,54,1350000,14,132,996,10000,12100
309,99,1023000,15,220,317,15000,15750
309,130,1700000,30,501,521,17500,17500
310,66,2265000,15,618,1135,6600,7730
310,54,1400000,21,63,474,15000,15750
311,191,5482000,66,58,7,12000,10800
315,712,10000000,150,75,173,15000,13500
316,54,2910000,15,135,2,5000,4465
316,62,700000,13,94,813,18000,17800
318,114,3500000,25,54,6,7000,6300
321,78,3000000,22,124,1,7300,6570
321,82,5700000,9,31,2,1300,1470
328,68,4368932,7,11,11,1700,3400
330,51,1000000,12,345,573,11500,20750
